Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,External_Company Name,External_AM CEC/TEAM CEC's,External_AM Name/TEAM Names
UNIVERSITY OF NORTH DAKOTA,ND,ND,ND-UNIVERSITY OF N DAKOTA,No Match,,0.0,,,
RAPID CITY AREA SCHOOLS,SD,SD,SD-RAPID CITY AREA SCHOOLS,No Match,,0.0,,,
GROTON AREA SD,SD,SD,SD-GROTON AREA SD,No Match,,0.0,,,
UNIVERSITY OF SOUTH DAKOTA,SD,SD,SD-UNIVERSITY OF S DAKOTA,No Match,,0.0,,,
NORMANDY SCHOOLS COLLABORATIVE,SC,SC,SC-NORMANDY SCHOOLS COLLABORATIVE,No Match,,0.0,,,
SIOUX FALLS SCHOOL DISTRICT,SD,SD,SD-SIOUX FALLS SCHOOL DISTRICT,No Match,,0.0,,,
COLORADO STATE UNIVERSITY,CO,CO,CO-COLORADO STATE UNIVERSITY,No Match,,0.0,,,
WELD COUNTY,CO,CO,CO-WELD COUNTY,No Match,,0.0,,,
CAPTIVA ISLAND FIRE CONTROL DISTRICT,FL,FL,FL-CAPTIVA ISLAND FIRE CONTROL DISTRICT,No Match,,0.0,,,
NORTH CONEJOS SD,CO,CO,CO-N CONEJOS SD,No Match,,0.0,,,
ESTES PARK SD,CO,CO,CO-ESTES PARK SD,No Match,,0.0,,,
GREELEY-EVANS SCHOOL DISTRICT 6,CO,CO,CO-GREELEY-EVANS SCHOOL DISTRICT 6,No Match,,0.0,,,
JEFFERSON COUNTY,CO,CO,CO-JEFFERSON COUNTY,No Match,,0.0,,,
ARCHULETA SD,CO,CO,CO-ARCHULETA SD,No Match,,0.0,,,
CITY OF AURORA,CO,CO,CO-CITY OF AURORA,No Match,,0.0,,,
CITY OF GRAND JUNCTION,CO,CO,CO-CITY OF GRAND JUNCTION,No Match,,0.0,,,
COLORADO SPRINGS SD 11,CO,CO,CO-COLORADO SPRINGS SD 11,No Match,,0.0,,,
ADAMS COUNTY,CO,CO,CO-ADAMS COUNTY,No Match,,0.0,,,
LARIMER COUNTY,CO,CO,CO-LARIMER COUNTY,No Match,,0.0,,,
OURAY SD,CO,CO,CO-OURAY SD,No Match,,0.0,,,
SUMMIT SCHOOL DISTRICT,CO,CO,CO-SUMMIT SCHOOL DISTRICT,No Match,,0.0,,,
TOWN OF TIMNATH,CO,CO,CO-TOWN OF TIMNATH,No Match,,0.0,,,
TOWN OF GYPSUM,CO,CO,CO-TOWN OF GYPSUM,No Match,,0.0,,,
CITY OF ANCHORAGE,AK,AK,AK-CITY OF ANCHORAGE,No Match,,0.0,,,
CITY AND BOROUGH OF JUNEAU,AK,AK,AK-CITY AND BOROUGH OF JUNEAU,No Match,,0.0,,,
